precision,word,speaker_id,distance,type,spk1,spk2
float64,pas ceux,AB,0.14747792861807962,intra,,
float64,pas ceux,AB,0.3069186000606562,intra,,
float64,pas ceux,AB,0.43183103368667286,intra,,
float64,pas ceux,AB,0.2911111263378162,intra,,
float64,pas ceux,AB,0.1307064335591004,intra,,
float64,pas ceux,AB,0.1019827253095249,intra,,
float64,pas ceux,AB,0.10922472198526167,intra,,
float64,pour gabriel,AB,0.09260775126670595,intra,,
float64,pour gabriel,AB,0.10194324684858913,intra,,
float64,pour gabriel,AB,0.13523297656150235,intra,,
float64,pour gabriel,AB,0.13881926002005418,intra,,
float64,pour gabriel,AB,0.10702881610335435,intra,,
float64,pour gabriel,AB,0.0874862303969468,intra,,
float64,pour gabriel,AB,0.10574449604138081,intra,,
float64,pour gabriel,AB,0.12678918286555874,intra,,
float64,pour gabriel,AB,0.08033092343541781,intra,,
float64,pour gabriel,AB,0.13007471439367302,intra,,
float64,pour gabriel,AB,0.12320301578200488,intra,,
float64,pour gabriel,AB,0.09248109924346848,intra,,
float64,pour gabriel,AB,0.17878002346305488,intra,,
float64,pour gabriel,AB,0.11381492430449303,intra,,
float64,pour gabriel,AB,0.13642789141519174,intra,,
float64,sérieux,AB,0.1230390120878807,intra,,
float64,sérieux,AB,0.13404021934508992,intra,,
float64,sérieux,AB,0.19127137511676517,intra,,
float64,sérieux,AB,0.29983397712217774,intra,,
float64,sérieux,AB,0.16589561422498544,intra,,
float64,sérieux,AB,0.1191911548632627,intra,,
float64,sérieux,AB,0.09484182048650414,intra,,
float64,sérieux,AB,0.23772268022351783,intra,,
float64,sérieux,AB,0.10932485536689684,intra,,
float64,sérieux,AB,0.12388795768673633,intra,,
float64,sérieux,AB,0.2414609120075274,intra,,
float64,sérieux,AB,0.09067082315762454,intra,,
float64,sérieux,AB,0.2622358386233029,intra,,
float64,sérieux,AB,0.10238710241007942,intra,,
float64,sérieux,AB,0.1472192855410932,intra,,
float64,tsarine,AB,0.17061717365439322,intra,,
float64,tsarine,AB,0.11632671862413857,intra,,
float64,tsarine,AB,0.12161754658920398,intra,,
float64,tsarine,AB,0.2074329533762117,intra,,
float64,tsarine,AB,0.0925079943566961,intra,,
float64,tsarine,AB,0.38886372748143627,intra,,
float64,tsarine,AB,0.13249887564447804,intra,,
float64,tsarine,AB,0.16171091104404367,intra,,
float64,tsarine,AB,0.1331858363222439,intra,,
float64,tsarine,AB,0.2731781312431786,intra,,
float64,tsarine,AB,0.3617457252303088,intra,,
float64,tsarine,AB,0.23041399490713432,intra,,
float64,tsarine,AB,0.1164706932236752,intra,,
float64,tsarine,AB,0.08853560208082767,intra,,
float64,tsarine,AB,0.13174526139992682,intra,,
float64,tulle,AB,0.25361079567803546,intra,,
float64,tulle,AB,0.319156744140771,intra,,
float64,tulle,AB,0.15312387134899574,intra,,
float64,tulle,AB,0.3373942100577436,intra,,
float64,tulle,AB,0.23385998851349532,intra,,
float64,tulle,AB,0.17315080696478324,intra,,
float64,tulle,AB,0.2065489508569449,intra,,
float64,tulle,AB,0.10946730763402346,intra,,
float64,tulle,AB,0.12069596745586353,intra,,
float64,tulle,AB,0.2909456427957452,intra,,
float64,tulle,AB,0.10305371331743429,intra,,
float64,tulle,AB,0.13309667295742744,intra,,
float64,tulle,AB,0.3011255725903841,intra,,
float64,tulle,AB,0.17718510428541123,intra,,
float64,tulle,AB,0.1119786366425134,intra,,
float64,cache cache,AB2,0.07847740528629632,intra,,
float64,cache cache,AB2,0.07807254334957325,intra,,
float64,cache cache,AB2,0.08809915153351033,intra,,
float64,cache cache,AB2,0.17853318184168143,intra,,
float64,cache cache,AB2,0.10131116830128672,intra,,
float64,cache cache,AB2,0.06490992925497774,intra,,
float64,cache cache,AB2,0.108573099379772,intra,,
float64,cache cache,AB2,0.11414313374424956,intra,,
float64,cache cache,AB2,0.09369049874827395,intra,,
float64,cache cache,AB2,0.06884243665829815,intra,,
float64,cache cache,AB2,0.14179305343867277,intra,,
float64,cache cache,AB2,0.08138533717445462,intra,,
float64,cache cache,AB2,0.19521139766228035,intra,,
float64,cache cache,AB2,0.07617397929001057,intra,,
float64,cache cache,AB2,0.1551054260029313,intra,,
float64,divan,AB2,0.1868911314002929,intra,,
float64,divan,AB2,0.10066792079487019,intra,,
float64,divan,AB2,0.24707854528210393,intra,,
float64,divan,AB2,0.1538676796498084,intra,,
float64,divan,AB2,0.1347020098224957,intra,,
float64,divan,AB2,0.1207648181418568,intra,,
float64,divan,AB2,0.1311949843560335,intra,,
float64,divan,AB2,0.11366520689997484,intra,,
float64,divan,AB2,0.2939672882346581,intra,,
float64,divan,AB2,0.17840878152911277,intra,,
float64,divan,AB2,0.12958989793661946,intra,,
float64,divan,AB2,0.11974251712188022,intra,,
float64,divan,AB2,0.21778909233966215,intra,,
float64,divan,AB2,0.3521002253186579,intra,,
float64,divan,AB2,0.262852953958004,intra,,
float64,garage,AB2,0.1753548838067882,intra,,
float64,garage,AB2,0.1056406479450075,intra,,
float64,garage,AB2,0.1451607067309001,intra,,
float64,garage,AB2,0.07472968258597612,intra,,
